opt_code,school_year,school_name,longitude,latitude,city,how_long_delayed
01004,2015-2016,Great Oaks Charter School,-73.99178,40.719819,Manhattan,16-30 Min
01004,2015-2016,Great Oaks Charter School,-73.99178,40.719819,Manhattan,46-60 Min
01004,2015-2016,Great Oaks Charter School,-73.99178,40.719819,Manhattan,61-90 Min
01004,2015-2016,Great Oaks Charter School,-73.99178,40.719819,Manhattan,31-45 Min
01004,2015-2016,Great Oaks Charter School,-73.99178,40.719819,Manhattan,0-15 Min
01006,2017-2018,RESTART @ ORCHARD ACADEMY COLL,-73.986331,40.713608,Manhattan,0-15 Min
01006,2017-2018,RESTART @ ORCHARD ACADEMY COLL,-73.986331,40.713608,Manhattan,46-60 Min
01006,2017-2018,RESTART @ ORCHARD ACADEMY COLL,-73.986331,40.713608,Manhattan,61-90 Min
01006,2017-2018,RESTART @ ORCHARD ACADEMY COLL,-73.986331,40.713608,Manhattan,31-45 Min
01006,2017-2018,RESTART @ ORCHARD ACADEMY COLL,-73.986331,40.713608,Manhattan,16-30 Min
01015,2015-2016,PS 15,-73.979234,40.721986,Manhattan,0-15 Min
01015,2015-2016,PS 15,-73.979234,40.721986,Manhattan,31-45 Min
01015,2015-2016,PS 15,-73.979234,40.721986,Manhattan,46-60 Min
01015,2015-2016,PS 15,-73.979234,40.721986,Manhattan,61-90 Min
01015,2015-2016,PS 15,-73.979234,40.721986,Manhattan,16-30 Min
01019,2015-2016,PS 19,-73.983907,40.729672,Manhattan,16-30 Min
01019,2015-2016,PS 19,-73.983907,40.729672,Manhattan,0-15 Min
01019,2015-2016,PS 19,-73.983907,40.729672,Manhattan,46-60 Min
01019,2015-2016,PS 19,-73.983907,40.729672,Manhattan,31-45 Min
01019,2015-2016,PS 19,-73.983907,40.729672,Manhattan,61-90 Min
01020,2015-2016,PS 20,-73.986671,40.721286,Manhattan,0-15 Min
01020,2015-2016,PS 20,-73.986671,40.721286,Manhattan,16-30 Min
01020,2015-2016,PS 20,-73.986671,40.721286,Manhattan,61-90 Min
01020,2015-2016,PS 20,-73.986671,40.721286,Manhattan,46-60 Min
01020,2015-2016,PS 20,-73.986671,40.721286,Manhattan,31-45 Min
01034,2015-2016,PS 34,-73.975232,40.726404,Manhattan,46-60 Min
01034,2015-2016,PS 34,-73.975232,40.726404,Manhattan,31-45 Min
01034,2015-2016,PS 34,-73.975232,40.726404,Manhattan,16-30 Min
01034,2015-2016,PS 34,-73.975232,40.726404,Manhattan,0-15 Min
01034,2015-2016,PS 34,-73.975232,40.726404,Manhattan,61-90 Min
01063,2015-2016,PS 63,-73.986467,40.724242,Manhattan,16-30 Min
01063,2015-2016,PS 63,-73.986467,40.724242,Manhattan,31-45 Min
01063,2015-2016,PS 63,-73.986467,40.724242,Manhattan,46-60 Min
01063,2015-2016,PS 63,-73.986467,40.724242,Manhattan,0-15 Min
01063,2015-2016,PS 63,-73.986467,40.724242,Manhattan,61-90 Min
01064,2015-2016,PS 64,-73.981338,40.724272,Manhattan,61-90 Min
01064,2015-2016,PS 64,-73.981338,40.724272,Manhattan,16-30 Min
01064,2015-2016,PS 64,-73.981338,40.724272,Manhattan,0-15 Min
01064,2015-2016,PS 64,-73.981338,40.724272,Manhattan,31-45 Min
01064,2015-2016,PS 64,-73.981338,40.724272,Manhattan,46-60 Min
01080,2015-2016,MANHATTAN CHARTER SCH II,-73.986331,40.713608,Manhattan,0-15 Min
01080,2015-2016,MANHATTAN CHARTER SCH II,-73.986331,40.713608,Manhattan,46-60 Min
01080,2015-2016,MANHATTAN CHARTER SCH II,-73.986331,40.713608,Manhattan,31-45 Min
01080,2015-2016,MANHATTAN CHARTER SCH II,-73.986331,40.713608,Manhattan,61-90 Min
01080,2015-2016,MANHATTAN CHARTER SCH II,-73.986331,40.713608,Manhattan,16-30 Min
01110,2015-2016,PS 110,-73.979958,40.715536,Manhattan,0-15 Min
01110,2015-2016,PS 110,-73.979958,40.715536,Manhattan,16-30 Min
01110,2015-2016,PS 110,-73.979958,40.715536,Manhattan,61-90 Min
01110,2015-2016,PS 110,-73.979958,40.715536,Manhattan,46-60 Min
01110,2015-2016,PS 110,-73.979958,40.715536,Manhattan,31-45 Min
01134,2015-2016,PS 134,-73.983731,40.714492,Manhattan,61-90 Min
01134,2015-2016,PS 134,-73.983731,40.714492,Manhattan,46-60 Min
01134,2015-2016,PS 134,-73.983731,40.714492,Manhattan,31-45 Min
01134,2015-2016,PS 134,-73.983731,40.714492,Manhattan,16-30 Min
01134,2015-2016,PS 134,-73.983731,40.714492,Manhattan,0-15 Min
01140,2015-2016,PS 140,-73.983157,40.719269,Manhattan,16-30 Min
01140,2015-2016,PS 140,-73.983157,40.719269,Manhattan,46-60 Min
01140,2015-2016,PS 140,-73.983157,40.719269,Manhattan,31-45 Min
01140,2015-2016,PS 140,-73.983157,40.719269,Manhattan,0-15 Min
01140,2015-2016,PS 140,-73.983157,40.719269,Manhattan,61-90 Min
01142,2015-2016,PS 142,-73.984365,40.718346,Manhattan,46-60 Min
01142,2015-2016,PS 142,-73.984365,40.718346,Manhattan,61-90 Min
01142,2015-2016,PS 142,-73.984365,40.718346,Manhattan,31-45 Min
01142,2015-2016,PS 142,-73.984365,40.718346,Manhattan,16-30 Min
01142,2015-2016,PS 142,-73.984365,40.718346,Manhattan,0-15 Min
01184,2015-2016,SHUANG WEN SCHOOL PS 184,-73.986352,40.711487,Manhattan,46-60 Min
01184,2015-2016,SHUANG WEN SCHOOL PS 184,-73.986352,40.711487,Manhattan,31-45 Min
01184,2015-2016,SHUANG WEN SCHOOL PS 184,-73.986352,40.711487,Manhattan,0-15 Min
01184,2015-2016,SHUANG WEN SCHOOL PS 184,-73.986352,40.711487,Manhattan,61-90 Min
01184,2015-2016,SHUANG WEN SCHOOL PS 184,-73.986352,40.711487,Manhattan,16-30 Min
01188,2015-2016,PS 188 ISLAND SCHOOL,-73.977811,40.71973,Manhattan,46-60 Min
01188,2015-2016,PS 188 ISLAND SCHOOL,-73.977811,40.71973,Manhattan,31-45 Min
01188,2015-2016,PS 188 ISLAND SCHOOL,-73.977811,40.71973,Manhattan,0-15 Min
01188,2015-2016,PS 188 ISLAND SCHOOL,-73.977811,40.71973,Manhattan,16-30 Min
01188,2015-2016,PS 188 ISLAND SCHOOL,-73.977811,40.71973,Manhattan,61-90 Min
01325,2015-2016,THE EARTH SCHOOL AT PS 64,-73.981338,40.724272,Manhattan,61-90 Min
01325,2015-2016,THE EARTH SCHOOL AT PS 64,-73.981338,40.724272,Manhattan,16-30 Min
01325,2015-2016,THE EARTH SCHOOL AT PS 64,-73.981338,40.724272,Manhattan,46-60 Min
01325,2015-2016,THE EARTH SCHOOL AT PS 64,-73.981338,40.724272,Manhattan,31-45 Min
01332,2015-2016,UNIVERSITY NEIGHBORHOOD MS,-73.986331,40.713608,Manhattan,46-60 Min
01332,2015-2016,UNIVERSITY NEIGHBORHOOD MS,-73.986331,40.713608,Manhattan,0-15 Min
01332,2015-2016,UNIVERSITY NEIGHBORHOOD MS,-73.986331,40.713608,Manhattan,31-45 Min
01332,2015-2016,UNIVERSITY NEIGHBORHOOD MS,-73.986331,40.713608,Manhattan,61-90 Min
01332,2015-2016,UNIVERSITY NEIGHBORHOOD MS,-73.986331,40.713608,Manhattan,16-30 Min
01378,2015-2016,SCHOOL FOR GLOBAL LEADERS,-73.985688,40.720511,Manhattan,46-60 Min
01378,2015-2016,SCHOOL FOR GLOBAL LEADERS,-73.985688,40.720511,Manhattan,61-90 Min
01378,2015-2016,SCHOOL FOR GLOBAL LEADERS,-73.985688,40.720511,Manhattan,0-15 Min
01378,2015-2016,SCHOOL FOR GLOBAL LEADERS,-73.985688,40.720511,Manhattan,31-45 Min
01378,2015-2016,SCHOOL FOR GLOBAL LEADERS,-73.985688,40.720511,Manhattan,16-30 Min
01400,2015-2016,P751M @MAN SCH FOR CAREER DEV.,-73.988255,40.725794,Manhattan,61-90 Min
01400,2015-2016,P751M @MAN SCH FOR CAREER DEV.,-73.988255,40.725794,Manhattan,46-60 Min
01400,2015-2016,P751M @MAN SCH FOR CAREER DEV.,-73.988255,40.725794,Manhattan,0-15 Min
01400,2015-2016,P751M @MAN SCH FOR CAREER DEV.,-73.988255,40.725794,Manhattan,31-45 Min
01400,2015-2016,P751M @MAN SCH FOR CAREER DEV.,-73.988255,40.725794,Manhattan,16-30 Min
01419,2015-2016,EAST VILLAGE COMMUNITY SCHOOL,-73.978535,40.727808,Manhattan,16-30 Min
01419,2015-2016,EAST VILLAGE COMMUNITY SCHOOL,-73.978535,40.727808,Manhattan,61-90 Min
01419,2015-2016,EAST VILLAGE COMMUNITY SCHOOL,-73.978535,40.727808,Manhattan,46-60 Min
01419,2015-2016,EAST VILLAGE COMMUNITY SCHOOL,-73.978535,40.727808,Manhattan,31-45 Min
01419,2015-2016,EAST VILLAGE COMMUNITY SCHOOL,-73.978535,40.727808,Manhattan,0-15 Min
01420,2015-2016,EAST SIDE COMMUNITY H.S.,-73.982949,40.729667,Manhattan,31-45 Min
01420,2015-2016,EAST SIDE COMMUNITY H.S.,-73.982949,40.729667,Manhattan,46-60 Min
01420,2015-2016,EAST SIDE COMMUNITY H.S.,-73.982949,40.729667,Manhattan,16-30 Min
01420,2015-2016,EAST SIDE COMMUNITY H.S.,-73.982949,40.729667,Manhattan,0-15 Min
01420,2015-2016,EAST SIDE COMMUNITY H.S.,-73.982949,40.729667,Manhattan,61-90 Min
01422,2015-2016,CHILDREN'S WORKSHOP SCHOOL,-73.978535,40.727808,Manhattan,46-60 Min
01422,2015-2016,CHILDREN'S WORKSHOP SCHOOL,-73.978535,40.727808,Manhattan,31-45 Min
01422,2015-2016,CHILDREN'S WORKSHOP SCHOOL,-73.978535,40.727808,Manhattan,61-90 Min
01422,2015-2016,CHILDREN'S WORKSHOP SCHOOL,-73.978535,40.727808,Manhattan,16-30 Min
01422,2015-2016,CHILDREN'S WORKSHOP SCHOOL,-73.978535,40.727808,Manhattan,0-15 Min
01429,2015-2016,THE NEIGHBORHOOD SCHOOL,-73.986467,40.724242,Manhattan,61-90 Min
01429,2015-2016,THE NEIGHBORHOOD SCHOOL,-73.986467,40.724242,Manhattan,16-30 Min
01429,2015-2016,THE NEIGHBORHOOD SCHOOL,-73.986467,40.724242,Manhattan,46-60 Min
01429,2015-2016,THE NEIGHBORHOOD SCHOOL,-73.986467,40.724242,Manhattan,31-45 Min
01429,2015-2016,THE NEIGHBORHOOD SCHOOL,-73.986467,40.724242,Manhattan,0-15 Min
01450,2015-2016,P094M @ P188M,-73.977811,40.71973,Manhattan,61-90 Min
01450,2015-2016,P094M @ P188M,-73.977811,40.71973,Manhattan,0-15 Min
01450,2015-2016,P094M @ P188M,-73.977811,40.71973,Manhattan,16-30 Min
01450,2015-2016,P094M @ P188M,-73.977811,40.71973,Manhattan,46-60 Min
01450,2015-2016,P094M @ P188M,-73.977811,40.71973,Manhattan,31-45 Min
01461,2015-2016,P094M @ P015M,-73.979234,40.721986,Manhattan,31-45 Min
01461,2015-2016,P094M @ P015M,-73.979234,40.721986,Manhattan,46-60 Min
01461,2015-2016,P094M @ P015M,-73.979234,40.721986,Manhattan,61-90 Min
01461,2015-2016,P094M @ P015M,-73.979234,40.721986,Manhattan,16-30 Min
01461,2015-2016,P094M @ P015M,-73.979234,40.721986,Manhattan,0-15 Min
01465,2015-2016,P094M @ P061M,-73.978535,40.727808,Manhattan,61-90 Min
01465,2015-2016,P094M @ P061M,-73.978535,40.727808,Manhattan,46-60 Min
01465,2015-2016,P094M @ P061M,-73.978535,40.727808,Manhattan,16-30 Min
01465,2015-2016,P094M @ P061M,-73.978535,40.727808,Manhattan,0-15 Min
01465,2015-2016,P094M @ P061M,-73.978535,40.727808,Manhattan,31-45 Min
01513,2015-2016,CMSP MARTE VALLE SEC.SCHOOL,-73.985688,40.720511,Manhattan,61-90 Min
01513,2015-2016,CMSP MARTE VALLE SEC.SCHOOL,-73.985688,40.720511,Manhattan,46-60 Min
01513,2015-2016,CMSP MARTE VALLE SEC.SCHOOL,-73.985688,40.720511,Manhattan,31-45 Min
01513,2015-2016,CMSP MARTE VALLE SEC.SCHOOL,-73.985688,40.720511,Manhattan,16-30 Min
01539,2015-2016,NEW EXPLO.INTO SCI.TECH & MATH,-73.9793,40.719116,Manhattan,61-90 Min
01539,2015-2016,NEW EXPLO.INTO SCI.TECH & MATH,-73.9793,40.719116,Manhattan,31-45 Min
01539,2015-2016,NEW EXPLO.INTO SCI.TECH & MATH,-73.9793,40.719116,Manhattan,16-30 Min
01539,2015-2016,NEW EXPLO.INTO SCI.TECH & MATH,-73.9793,40.719116,Manhattan,46-60 Min
01539,2015-2016,NEW EXPLO.INTO SCI.TECH & MATH,-73.9793,40.719116,Manhattan,0-15 Min
01552,2015-2016,HENRY ST.SCH FOR INTER.STUDIES,-73.986331,40.713608,Manhattan,46-60 Min
01552,2015-2016,HENRY ST.SCH FOR INTER.STUDIES,-73.986331,40.713608,Manhattan,31-45 Min
01552,2015-2016,HENRY ST.SCH FOR INTER.STUDIES,-73.986331,40.713608,Manhattan,16-30 Min
01569,2015-2016,BARD HS EARLY COLLEGE,-73.975438,40.718761,Manhattan,0-15 Min
01569,2015-2016,BARD HS EARLY COLLEGE,-73.975438,40.718761,Manhattan,61-90 Min
01569,2015-2016,BARD HS EARLY COLLEGE,-73.975438,40.718761,Manhattan,16-30 Min
01569,2015-2016,BARD HS EARLY COLLEGE,-73.975438,40.718761,Manhattan,46-60 Min
01569,2015-2016,BARD HS EARLY COLLEGE,-73.975438,40.718761,Manhattan,31-45 Min
01616,2015-2016,COOK CTR GRAMMAR SCHOOL,-73.982171,40.719442,Manhattan,61-90 Min
01616,2015-2016,COOK CTR GRAMMAR SCHOOL,-73.982171,40.719442,Manhattan,0-15 Min
01616,2015-2016,COOK CTR GRAMMAR SCHOOL,-73.982171,40.719442,Manhattan,16-30 Min
01616,2015-2016,COOK CTR GRAMMAR SCHOOL,-73.982171,40.719442,Manhattan,31-45 Min
01616,2015-2016,COOK CTR GRAMMAR SCHOOL,-73.982171,40.719442,Manhattan,46-60 Min
01657,2015-2016,MANHATTAN CHARTER SCHOOL,-73.984365,40.718346,Manhattan,16-30 Min
01657,2015-2016,MANHATTAN CHARTER SCHOOL,-73.984365,40.718346,Manhattan,61-90 Min
01657,2015-2016,MANHATTAN CHARTER SCHOOL,-73.984365,40.718346,Manhattan,31-45 Min
01657,2015-2016,MANHATTAN CHARTER SCHOOL,-73.984365,40.718346,Manhattan,46-60 Min
01658,2015-2016,GIRLS PREP CHARTER SCH NY ELEM,-73.977811,40.71973,Manhattan,61-90 Min
01658,2015-2016,GIRLS PREP CHARTER SCH NY ELEM,-73.977811,40.71973,Manhattan,0-15 Min
01658,2015-2016,GIRLS PREP CHARTER SCH NY ELEM,-73.977811,40.71973,Manhattan,46-60 Min
01658,2015-2016,GIRLS PREP CHARTER SCH NY ELEM,-73.977811,40.71973,Manhattan,16-30 Min
01658,2015-2016,GIRLS PREP CHARTER SCH NY ELEM,-73.977811,40.71973,Manhattan,31-45 Min
01659,2015-2016,GIRLS PREP CHARTER SCH NY MS,-73.982949,40.729667,Manhattan,46-60 Min
01659,2015-2016,GIRLS PREP CHARTER SCH NY MS,-73.982949,40.729667,Manhattan,16-30 Min
01659,2015-2016,GIRLS PREP CHARTER SCH NY MS,-73.982949,40.729667,Manhattan,31-45 Min
01659,2015-2016,GIRLS PREP CHARTER SCH NY MS,-73.982949,40.729667,Manhattan,61-90 Min
01769,2015-2016,GEORGE JACKSON ACADEMY,-73.984819,40.727297,Manhattan,16-30 Min
01769,2015-2016,GEORGE JACKSON ACADEMY,-73.984819,40.727297,Manhattan,61-90 Min
01769,2015-2016,GEORGE JACKSON ACADEMY,-73.984819,40.727297,Manhattan,31-45 Min
01769,2015-2016,GEORGE JACKSON ACADEMY,-73.984819,40.727297,Manhattan,46-60 Min
01769,2015-2016,GEORGE JACKSON ACADEMY,-73.984819,40.727297,Manhattan,0-15 Min
01817,2015-2016,BETH JACOB SCHOOL,-73.984109,40.716355,Manhattan,0-15 Min
01817,2015-2016,BETH JACOB SCHOOL,-73.984109,40.716355,Manhattan,61-90 Min
01817,2015-2016,BETH JACOB SCHOOL,-73.984109,40.716355,Manhattan,46-60 Min
01817,2015-2016,BETH JACOB SCHOOL,-73.984109,40.716355,Manhattan,31-45 Min
01817,2015-2016,BETH JACOB SCHOOL,-73.984109,40.716355,Manhattan,16-30 Min
01854,2015-2016,LOWER EAST SIDE PREP,-73.985688,40.720511,Manhattan,46-60 Min
01854,2015-2016,LOWER EAST SIDE PREP,-73.985688,40.720511,Manhattan,0-15 Min
01854,2015-2016,LOWER EAST SIDE PREP,-73.985688,40.720511,Manhattan,31-45 Min
01854,2015-2016,LOWER EAST SIDE PREP,-73.985688,40.720511,Manhattan,61-90 Min
01854,2015-2016,LOWER EAST SIDE PREP,-73.985688,40.720511,Manhattan,16-30 Min
01867,2015-2016,Thompkins Square Middle School,-73.981338,40.724272,Manhattan,46-60 Min
01867,2015-2016,Thompkins Square Middle School,-73.981338,40.724272,Manhattan,31-45 Min
02001,2015-2016,PS 1,-73.997481,40.712682,Manhattan,16-30 Min
02001,2015-2016,PS 1,-73.997481,40.712682,Manhattan,31-45 Min
02001,2015-2016,PS 1,-73.997481,40.712682,Manhattan,0-15 Min
02001,2015-2016,PS 1,-73.997481,40.712682,Manhattan,61-90 Min
02001,2015-2016,PS 1,-73.997481,40.712682,Manhattan,46-60 Min
02002,2015-2016,PS 2,-73.991337,40.713194,Manhattan,16-30 Min
02002,2015-2016,PS 2,-73.991337,40.713194,Manhattan,61-90 Min
02002,2015-2016,PS 2,-73.991337,40.713194,Manhattan,46-60 Min
02002,2015-2016,PS 2,-73.991337,40.713194,Manhattan,31-45 Min
02002,2015-2016,PS 2,-73.991337,40.713194,Manhattan,0-15 Min
02003,2015-2016,PS 3,-74.006367,40.73258,Manhattan,16-30 Min
02003,2015-2016,PS 3,-74.006367,40.73258,Manhattan,0-15 Min
02003,2015-2016,PS 3,-74.006367,40.73258,Manhattan,31-45 Min
02003,2015-2016,PS 3,-74.006367,40.73258,Manhattan,61-90 Min
02003,2015-2016,PS 3,-74.006367,40.73258,Manhattan,46-60 Min
02005,2015-2016,P751M @ HARVEY MILK HS,-73.992652,40.729963,Manhattan,16-30 Min
02005,2015-2016,P751M @ HARVEY MILK HS,-73.992652,40.729963,Manhattan,46-60 Min
02005,2015-2016,P751M @ HARVEY MILK HS,-73.992652,40.729963,Manhattan,31-45 Min
02005,2015-2016,P751M @ HARVEY MILK HS,-73.992652,40.729963,Manhattan,0-15 Min
02006,2015-2016,PS 6,-73.960676,40.777527,Manhattan,46-60 Min
02006,2015-2016,PS 6,-73.960676,40.777527,Manhattan,31-45 Min
02006,2015-2016,PS 6,-73.960676,40.777527,Manhattan,61-90 Min
02006,2015-2016,PS 6,-73.960676,40.777527,Manhattan,16-30 Min
02006,2015-2016,PS 6,-73.960676,40.777527,Manhattan,0-15 Min
02011,2015-2016,PS 11,-74.0003,40.744282,Manhattan,0-15 Min
02011,2015-2016,PS 11,-74.0003,40.744282,Manhattan,46-60 Min
02011,2015-2016,PS 11,-74.0003,40.744282,Manhattan,16-30 Min
02011,2015-2016,PS 11,-74.0003,40.744282,Manhattan,61-90 Min
02011,2015-2016,PS 11,-74.0003,40.744282,Manhattan,31-45 Min
02016,2015-2016,Quad Preparatory School,-74.009962,40.707433,Manhattan,61-90 Min
02016,2015-2016,Quad Preparatory School,-74.009962,40.707433,Manhattan,0-15 Min
02016,2015-2016,Quad Preparatory School,-74.009962,40.707433,Manhattan,31-45 Min
02016,2015-2016,Quad Preparatory School,-74.009962,40.707433,Manhattan,46-60 Min
02016,2015-2016,Quad Preparatory School,-74.009962,40.707433,Manhattan,16-30 Min
02019,2015-2016,BEACON SCHOOL,-73.995846,40.761383,Manhattan,0-15 Min
02019,2015-2016,BEACON SCHOOL,-73.995846,40.761383,Manhattan,16-30 Min
02019,2015-2016,BEACON SCHOOL,-73.995846,40.761383,Manhattan,46-60 Min
